ticker,headline,source,published_at,url,sentiment_score
AAPL,Formula 1 and Apple's big gamble kicks off this weekend,Yahoo Finance,1772812604,https://finance.yahoo.com/news/formula-1-and-apples-big-gamble-kicks-off-this-weekend-155644302.html,0.0
AAPL,Warren Buffett's Final Top 10 Stock Holdings: Which Ones Will Greg Abel Likely Sell?,Benzinga,1772969475,https://finance.yahoo.com/news/warren-buffetts-final-top-10-113115378.html,0.2023
AAPL,"Apple's $599 MacBook Neo May Boost Revenue By 0.5% While Expanding Into Student Market, Gene Munster Says",Benzinga,1772929839,https://finance.yahoo.com/news/apples-599-macbook-neo-may-003039194.html,0.4019
AAPL,"The Best ""Magnificent Seven"" Stocks to Buy in March",Motley Fool,1772925960,https://www.fool.com/investing/2026/03/07/the-best-magnificent-seven-stocks-to-buy-in-march/,0.8442
AAPL,Apple’s Cheaper Devices And F1 Deal Test Growth And Valuation,Simply Wall St.,1772914091,https://finance.yahoo.com/news/apple-cheaper-devices-f1-deal-200811946.html,0.3818
AAPL,Magnificent 7 News: Microsoft Rebounds While Apple and Alphabet Fall This Week,24/7 Wall St.,1772910838,https://247wallst.com/investing/2026/03/07/magnificent-7-news-microsoft-rebounds-while-apple-and-alphabet-fall-this-week/,0.5994
AAPL,"Before Retiring, Warren Buffett Dumped $4.5 Billion Worth of 2 AI Stocks and Established a New Position in This 174-Year-Old Company",Motley Fool,1772908500,https://www.fool.com/investing/2026/03/07/warren-buffett-dumped-ai-for-174-year-old-company/,-0.2023
AAPL,TQQQ Holders Face a Risk That Has Nothing to Do With the Nasdaq Falling,24/7 Wall St.,1772899668,https://247wallst.com/investing/2026/03/07/tqqq-holders-face-a-risk-that-has-nothing-to-do-with-the-nasdaq-falling/,-0.4019
AAPL,Apple Just Sent Investors a Message: Is The Stock a Buy?,Motley Fool,1772893200,https://www.fool.com/investing/2026/03/07/apple-just-sent-investors-a-message-is-the-stock-a/,0.0
AAPL,A Winning Blue-Chip Fund Flips the Script on the AI Trade,Barrons.com,1772850660,https://www.barrons.com/articles/this-schwab-etf-is-soaring-as-investors-embrace-blue-chips-again-a0826e98?siteid=yhoof2&yptr=yahoo,0.5267
MSFT,Here’s Why UBS Lowered Advanced Micro Devices (AMD) Price Target,Insider Monkey,1772965459,https://finance.yahoo.com/news/why-ubs-lowered-advanced-micro-102419125.html,0.128
MSFT,"Should You Buy Microsoft Stock After Its 25% Correction, or Run for the Hills?",Motley Fool,1772961240,https://www.fool.com/investing/2026/03/08/should-buy-microsoft-stock-25-or-run-for-the-hills/,0.0
MSFT,Lawsuit Challenges Microsoft AI Safety As Investors Weigh Long Term Impact,Simply Wall St.,1772946525,https://finance.yahoo.com/news/lawsuit-challenges-microsoft-ai-safety-050845022.html,0.296
MSFT,Is Microsoft Stock Going to $500?,Motley Fool,1772916840,https://www.fool.com/investing/2026/03/07/is-microsoft-stock-going-to-500/,0.0
MSFT,"Dow Jones Movers: IBM Leads, Sherwin-Williams Drags as Analysts Clash on Salesforce",24/7 Wall St.,1772909417,https://247wallst.com/investing/2026/03/07/dow-jones-movers-ibm-leads-sherwin-williams-drags-as-analysts-clash-on-salesforce/,-0.1779
MSFT,Is Oracle’s Massive $500 Billion Stargate Project in Trouble?,24/7 Wall St.,1772902017,https://247wallst.com/investing/2026/03/07/is-oracles-massive-500-billion-stargate-project-in-trouble/,-0.4019
MSFT,"Stock Market Week: Sell Rules, Watchlists, Inflation Data And Iran",Investor's Business Daily,1772893259,https://www.investors.com/research/investing-action-plan/stock-market-iran-war-adobe-oracle-defense-stocks-investors/?src=A00220&yptr=yahoo,0.0
